TRIO0413	HG03804	HG03803	HG03802
TRIO0414	HG03807	HG03806	HG03805
TRIO0415	HG03816	HG03815	HG03814
TRIO0416	HG03825	HG03824	HG03823
TRIO0417	HG03831	HG03830	HG03829
TRIO0418	HG03834	HG03833	HG03832
TRIO0419	HG03906	HG03905	HG03904
TRIO0420	HG03909	HG03908	HG03907
TRIO0421	HG03915	HG03914	HG03913
TRIO0422	HG03927	HG03926	HG03925
TRIO0423	HG03930	HG03929	HG03928
TRIO0424	HG03942	HG03941	HG03940
TRIO0425	HG03992	HG03943	HG03944
TRIO0426	HG04036	HG03943	HG03944
TRIO0427	HG04115	HG03896	HG03894
TRIO0428	HG04122	HG04127	HG04075
TRIO0429	HG04133	HG04131	HG04132
TRIO0430	HG04136	HG04134	HG04135
TRIO0431	HG04142	HG04140	HG04141
TRIO0432	HG04148	HG04146	HG04147
TRIO0433	HG04151	HG04149	HG04150
TRIO0434	HG04157	HG04155	HG04156
TRIO0435	HG04160	HG04158	HG04159
TRIO0436	HG04175	HG04173	HG04174
TRIO0437	HG04184	HG04182	HG04183
TRIO0438	HG04187	HG04185	HG04186
TRIO0439	HG04193	HG04191	HG04192
TRIO0440	HG04199	HG04100	HG04099
TRIO0441	HG04204	HG03679	HG03642
TRIO0442	HG04215	HG03679	HG03642
TRIO0443	HG04217	HG04198	HG04200
TRIO0444	HG04228	HG04229	HG04227
TRIO0445	NA06991	NA06993	NA06985
TRIO0446	NA06995	NA07435	NA07037
TRIO0447	NA06997	NA06986	NA07045
TRIO0448	NA07014	NA07051	NA07031
TRIO0449	NA07019	NA07022	NA07056
TRIO0450	NA07029	NA06994	NA07000
TRIO0451	NA07048	NA07034	NA07055
TRIO0452	NA07348	NA07357	NA07345
TRIO0453	NA07349	NA07347	NA07346
TRIO0454	NA10830	NA12154	NA12236
TRIO0455	NA10831	NA12155	NA12156
TRIO0456	NA10835	NA12248	NA12249
TRIO0457	NA10836	NA12274	NA12275
TRIO0458	NA10837	NA12272	NA12273
TRIO0459	NA10838	NA12003	NA12004
TRIO0460	NA10839	NA12005	NA12006
TRIO0461	NA10840	NA12286	NA12287
TRIO0462	NA10842	NA11917	NA11918
TRIO0463	NA10843	NA11919	NA11920
TRIO0464	NA10845	NA11930	NA11931
TRIO0465	NA10846	NA12144	NA12145
TRIO0466	NA10847	NA12146	NA12239
TRIO0467	NA10851	NA12056	NA12057
TRIO0468	NA10852	NA12045	NA12046
TRIO0469	NA10854	NA11839	NA11840
TRIO0470	NA10855	NA11831	NA11832
TRIO0471	NA10856	NA11829	NA11830
TRIO0472	NA10857	NA12043	NA12044
TRIO0473	NA10859	NA11881	NA11882
TRIO0474	NA10860	NA11992	NA11993
TRIO0475	NA10861	NA11994	NA11995
TRIO0476	NA10863	NA12264	NA12234
TRIO0477	NA10864	NA11893	NA11894
TRIO0478	NA10865	NA11891	NA11892
TRIO0479	NA12329	NA06984	NA06989
TRIO0480	NA12335	NA12340	NA12341
TRIO0481	NA12336	NA12342	NA12343
TRIO0482	NA12344	NA12347	NA12348
TRIO0483	NA12376	NA12546	NA12489
TRIO0484	NA12386	NA12399	NA12400
TRIO0485	NA12485	NA12413	NA12414
TRIO0486	NA12707	NA12716	NA12717
TRIO0487	NA12739	NA12748	NA12749
TRIO0488	NA12740	NA12750	NA12751
TRIO0489	NA12752	NA12760	NA12761
TRIO0490	NA12753	NA12762	NA12763
TRIO0491	NA12766	NA12775	NA12776
TRIO0492	NA12767	NA12777	NA12778
TRIO0493	NA12801	NA12812	NA12813
TRIO0494	NA12802	NA12814	NA12815
TRIO0495	NA12817	NA12827	NA12828
TRIO0496	NA12818	NA12829	NA12830
TRIO0497	NA12832	NA12842	NA12843
TRIO0498	NA12864	NA12872	NA12873
TRIO0499	NA12865	NA12874	NA12875
TRIO0500	NA12877	NA12889	NA12890
TRIO0501	NA12878	NA12891	NA12892
TRIO0502	NA18484	NA18486	NA18488
TRIO0503	NA18485	NA18487	NA18489
TRIO0504	NA18497	NA18498	NA18499
TRIO0505	NA18500	NA18501	NA18502
TRIO0506	NA18503	NA18504	NA18505
TRIO0507	NA18506	NA18507	NA18508
TRIO0508	NA18515	NA18516	NA18517
TRIO0509	NA18518	NA18519	NA18520
TRIO0510	NA18521	NA18522	NA18523
TRIO0511	NA18854	NA18853	NA18852
TRIO0512	NA18857	NA18856	NA18855
TRIO0513	NA18860	NA18859	NA18858
TRIO0514	NA18863	NA18862	NA18861
TRIO0515	NA18869	NA18868	NA18867
TRIO0516	NA18872	NA18871	NA18870
TRIO0517	NA18875	NA18874	NA18873
TRIO0518	NA18906	NA18877	NA18876
TRIO0519	NA18911	NA18910	NA18909
TRIO0520	NA18914	NA18913	NA18912
TRIO0521	NA18925	NA18923	NA18924
TRIO0522	NA18930	NA18917	NA18916
TRIO0523	NA18935	NA18934	NA18933
TRIO0524	NA19094	NA19092	NA19093
TRIO0525	NA19097	NA19096	NA19095
TRIO0526	NA19100	NA19098	NA19099
TRIO0527	NA19103	NA19101	NA19102
TRIO0528	NA19109	NA19107	NA19108
TRIO0529	NA19115	NA19113	NA19114
TRIO0530	NA19120	NA19119	NA19116
TRIO0531	NA19123	NA19121	NA19122
TRIO0532	NA19129	NA19128	NA19127
TRIO0533	NA19132	NA19130	NA19131
TRIO0534	NA19139	NA19138	NA19137
TRIO0535	NA19142	NA19141	NA19140
TRIO0536	NA19145	NA19144	NA19143
TRIO0537	NA19148	NA19146	NA19147
TRIO0538	NA19151	NA19150	NA19149
TRIO0539	NA19154	NA19153	NA19152
TRIO0540	NA19161	NA19160	NA19159
TRIO0541	NA19173	NA19171	NA19172
TRIO0542	NA19174	NA19117	NA19118
TRIO0543	NA19177	NA19175	NA19176
TRIO0544	NA19186	NA19184	NA19185
TRIO0545	NA19191	NA19189	NA19190
TRIO0546	NA19199	NA19198	NA19197
TRIO0547	NA19202	NA19200	NA19201
TRIO0548	NA19205	NA19203	NA19204
TRIO0549	NA19208	NA19207	NA19206
TRIO0550	NA19211	NA19210	NA19209
TRIO0551	NA19215	NA19213	NA19214
TRIO0552	NA19221	NA19223	NA19222
TRIO0553	NA19224	NA19226	NA19225
TRIO0554	NA19237	NA19236	NA19235
TRIO0555	NA19240	NA19239	NA19238
TRIO0556	NA19249	NA19248	NA19247
TRIO0557	NA19258	NA19256	NA19257
TRIO0558	NA19650	NA19649	NA19648
TRIO0559	NA19653	NA19652	NA19651
TRIO0560	NA19656	NA19655	NA19654
TRIO0561	NA19659	NA19658	NA19657
TRIO0562	NA19662	NA19661	NA19660
TRIO0563	NA19665	NA19664	NA19663
TRIO0564	NA19671	NA19670	NA19669
TRIO0565	NA19675	NA19679	NA19678
TRIO0566	NA19677	NA19676	NA19675
TRIO0567	NA19680	NA19679	NA19678
TRIO0568	NA19683	NA19682	NA19681
TRIO0569	NA19685	NA19661	NA19660
TRIO0570	NA19686	NA19685	NA19684
TRIO0571	NA19702	NA19700	NA19701
TRIO0572	NA19705	NA19703	NA19704
TRIO0573	NA19718	NA19717	NA19716
TRIO0574	NA19721	NA19720	NA19719
TRIO0575	NA19724	NA19723	NA19722
TRIO0576	NA19727	NA19726	NA19725
TRIO0577	NA19730	NA19729	NA19728
TRIO0578	NA19733	NA19732	NA19731
TRIO0579	NA19748	NA19747	NA19746
TRIO0580	NA19751	NA19750	NA19749
TRIO0581	NA19757	NA19756	NA19755
TRIO0582	NA19760	NA19759	NA19758
TRIO0583	NA19763	NA19762	NA19761
TRIO0584	NA19772	NA19771	NA19770
TRIO0585	NA19775	NA19774	NA19773
TRIO0586	NA19778	NA19777	NA19776
TRIO0587	NA19781	NA19780	NA19779
TRIO0588	NA19784	NA19783	NA19782
TRIO0589	NA19787	NA19786	NA19785
TRIO0590	NA19790	NA19789	NA19788
TRIO0591	NA19796	NA19795	NA19794
TRIO0592	NA19828	NA19818	NA19819
TRIO0593	NA19836	NA19834	NA19835
TRIO0594	NA19902	NA19900	NA19901
TRIO0595	NA19918	NA19916	NA19917
TRIO0596	NA19919	NA19908	NA19909
TRIO0597	NA19924	NA19922	NA19923
TRIO0598	NA19983	NA19982	NA19713
TRIO0599	NA20128	NA20126	NA20127
TRIO0600	NA20129	NA19920	NA19921
TRIO0601	NA20279	NA20278	NA20282
TRIO0602	NA20358	NA20356	NA20357
